name,gender,organization,date,location,type_of_death
Gilbert Munana,Male,Le Flambeau,"April 8, 1994",Rwanda,Murder
Gilles Jacquier,Male,France 2,"January 11, 2012",Syria,Dangerous Assignment
Givanildo Oliveira,Male,Pirambu News,"February 7, 2022",Brazil,Murder
Gleydson Carvalho,Male,Radio Liberdade FM 90.3,"August 6, 2015",Brazil,Murder
Godwin Agbroko,Male,ThisDay,"December 22, 2006",Nigeria,
Golam Rabbani Nadim,Male,,"June 14, 2023",Bangladesh,Murder
Gratien Karambizi,Male,Imbaga,"April 9, 1994",Rwanda,Murder
Greg Hapalla,Male,DXAS,"September 21, 1992",Philippines,Murder
Gregorio Jiménez de la Cruz,Male,Notisur and Liberal del Sur,"Between February 5 and 11, 2014",Mexico,Murder
Gregorio Rodríguez Hernández,Male,El Debate,"November 28, 2004",Mexico,Murder
Grigol Chikhladze,Male,Caucasus Images,"August 10, 2008",Georgia,Crossfire
Guido Puletti,Male,Freelancer,"May 29, 1993",Bosnia,Crossfire
Guillaume Barreau-Decherf,Male,Freelance,"November 13, 2015",France,Dangerous Assignment
Guillermo Bravo Vega,Male,Alpevisión Radio,"April 28, 2003",Colombia,Murder
Guillermo Quiroz Delgado,Male,Freelance,"November 27, 2012",Colombia,Dangerous Assignment
Gundars Matiss,Male,Kurzeme Vards,"November 28, 2001",Latvia,Murder
Güngör Arslan,Male,Ses Kocaeli,"February 19, 2022",Turkey,Murder
Gustavo Rafael Ruiz Cantillo,Male,Radio Galeón,"November 15, 2000",Colombia,Murder
Gustavo Rojas Gabalo,Male,Radio Panzenú,"March 20, 2006",Colombia,Murder
Gustavo Sánchez Cabrera,Male,"Panorama Pacífico,Noticias Minuto a Minuto","June 17, 2021",Mexico,Murder
Guzmán Quintero Torres,Male,El Pilón,"September 16, 1999",Colombia,Murder
Gyanendra Khadka,Male,Rastriya Samachar Samiti,"September 7, 2003",Nepal,Murder
Habibollah Hosseinzadeh,Male,Press TV,"May 31, 2017",Afghanistan,Dangerous Assignment
Hadi al-Mahdi,Male,Freelance,"September 8, 2011",Iraq,Murder
Hafiz Akdemir,Male,Ozgur Gundem,"June 8, 1992",Turkey,Murder
Haidar al-Hussein,Male,Al-Sharq,"May 22, 2008",Iraq,Murder
Haidar Hashim Suhail,Male,Al-Baghdadia TV,"March 10, 2009",Iraq,Crossfire
Halit Gungen,Male,2000'e Dogru,"February 9, 1992",Turkey,Murder
Hamid Abed Sarhan,Male,freelance,"June 26, 2007",Iraq,Murder
Hamid al-Duleimi,Male,Nahrain,"March 17, 2007",Iraq,Murder
Hamid Mahiout,Male,Liberté,"December 2, 1995",Algeria,Murder
Hamoud al-Jnaid,Male,Radio Fresh,"November 23, 2018",Syria,Murder
Hang Serei Odom,Male,Virakchun Khmer Daily,"September 11, 2012",Cambodia,Murder
Hannibal Cachuela,Male,Punto News,"November 23, 2009",Philippines,Murder
Hansi Krauss,Male,Associated Press,"July 12, 1993",Somalia,Murder
Harb Hazzah al-Duleimi,Male,Hona Salaheddin,"July 7, 2017",Iraq,Crossfire
Harry Burton,Male,Reuters Television,"November 19, 2001",Afghanistan,Murder
Harry Yansaneh,Male,For Di People,"July 28, 2005",Sierra Leone,Murder
Harunur Rashid,Male,Dainik Purbanchal,"March 2, 2002",Bangladesh,Murder
Hashim al-Hamran,Male,Al-Masirah TV,"January 22, 2016",Yemen,Crossfire
Hasibur Rahman Rubel,Male,"Kushtiar Khabar,CrimeVisionBD.com,Amader Notun Shomoy","July 3 - 7, 2022",Bangladesh,
Hassan al-Anbaki,Male,Al-Sharqiya,"January 12, 2016",Iraq,Murder
Hassan al-Wadhaf,Male,Arabic Media Agency,"September 24, 2011",Yemen,Dangerous Assignment
Hassan Benaouda,Male,Algerian Television (ENTV),"March 12, 1994",Algeria,Murder
Hassan Kafi Hared,Male,Somali National News Agency,"January 28, 2008",Somalia,Dangerous Assignment
Hassan Mayow Hassan,Male,Radio Shabelle,"January 1, 2009",Somalia,Murder
Hassan Osman Abdi,Male,Shabelle Media Network,"January 28, 2012",Somalia,Murder
Hassan Yusuf Absuge,Male,Radio Maanta,"September 21, 2012",Somalia,Murder
Hassan Zubeyr,Male,Al-Arabiya,"December 3, 2009",Somalia,Crossfire
Hassouneh Salim,Male,,"November 18, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Hatem Abu Yehia,Male,Al-Ikhbariya,"August 10, 2012",Syria,Unknown
Hawker Faisal Mohammed,Male,Hawar News Agency (ANHA),"October 13, 2017",Syria,Crossfire
Hayatullah Khan,Male,Freelance,"June 16, 2006",Pakistan,Murder
Haymin Mohamed Salih,Male,Qulan TV,"February 1, 2004",Iraq,Crossfire
Heber López Vásquez,Male,"NoticiasWeb,RCP Noticias","February 10, 2022",Mexico,Murder
Héctor González Antonio,Male,"Excélsior, Imagen, Todo Noticias","May 28 or May 29, 2018",Mexico,
Héctor Ramírez,Male,Noti7 and Radio Sonora,"July 24, 2003",Guatemala,Dangerous Assignment
Héctor Sandoval,Male,RCN Televisión,"April 12, 2002",Colombia,Crossfire
Henry Araneta,Male,DZRH,"November 23, 2009",Philippines,Murder
Herliyanto,Male,Radar Surabaya and Jimber News Visioner,"April 29, 2006",Indonesia,Murder
Hernando Rangel Moreno,Male,Freelancer,"April 11, 1999",Colombia,Murder
Herson Hinolan,Male,Bombo Radyo,"November 13, 2004",Philippines,Murder
Hiro Muramoto,Male,Reuters,"April 10, 2010",Thailand,Dangerous Assignment
Hisham Alnwajha,Male,“Khabar” News Agency,"October 9, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Hisham Fares al-Adhami,Male,Freelance,"October 4, 2019",Iraq,Dangerous Assignment
Hosea Maina,Male,Reuters,"July 12, 1993",Somalia,Murder
Hosein Naderi,Male,Afghan Voice Agency,"March 11, 2023",Afghanistan,Murder
Hozan Abdel Halim Mahmoud,Male,Freelance,"November 19, 2012",Syria,Crossfire
Hrant Dink,Male,Agos,"January 19, 2007",Turkey,Murder
Humam Najjar (Abu Yazan al-Halabi),Male,Aleppo Today,"April 16, 2015",Syria,Crossfire
Humayun Kabir,Male,Janmabhumi,"June 24, 2004",Bangladesh,Murder
Humberto Coronel,Male,Radio Amambay,"September 6, 2022",Paraguay,
Humphrey Jupiter Nkonde,Male,Mission Press,"September 22--26, 2019",Zambia,
Huseyin Deniz,Male,Ozgur Gundem,"August 9, 1992",Turkey,Murder
Hussain Nazari,Male,Rah-E-Farda Radio and Television,"November 17, 2017",Afghanistan,Dangerous Assignment
Hussam Salama,Male,Al-Aqsa,"November 20, 2012",Israel and the Occupied Palestinian Territory,Crossfire
Hussam Sarsam,Male,Kurdistan TV,"March 14, 2005",Iraq,Murder
Hussein al-Zubaidi,Male,Al-Ahali,"January 28, 2007",Iraq,Murder
Hussein Ali,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder
Hussein Khattab,Male,TRT Arabic,"December 12, 2020",Syria,Murder
Ian Subang,Male,Socsargen Today,"November 23, 2009",Philippines,Murder
Ibrahim Abd al-Qader,Male,"Eye on the Homeland, Raqqa is Being Slaughtered Silently","October 30, 2015",Turkey,Murder
Ibrahim al-Munjar,Male,Sy24,"May 17, 2018",Syria,Murder
Ibrahim Goskel,Male,Freelancer,"July 10, 1993",Bosnia,Dangerous Assignment
Ibrahim Mohammad Lafi,Male,Ain Media,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Ibrahim Omar,Male,Al Jazeera,"July 11, 2016",Syria,Crossfire
Ibrahim Samura,Male,New Age,"June 6, 2018",Sierra Leone,
Ibrahim Seneid,Male,Al-Bashara,"June 13, 2006",Iraq,Murder
Igor Aleksandrov,Male,Tor,"July 7, 2001",Ukraine,Murder
Igor Belozyorov,Male,Ostankino State Broadcasting Company,"October 3, 1993",Russia,Dangerous Assignment
Igor Domnikov,Male,Novaya Gazeta,"July 16, 2000",Russia,Murder
Igor Hrushetsky,Male,Freelancer,"May 10, 1996",Ukraine,Murder
Igor Kornelyuk,Male,VGTRK,"June 17, 2014",Ukraine,Crossfire
Ihab Mu'd,Male,Al-Sharqiya,"September 13, 2008",Iraq,Murder
Ihor Hudenko,Male,Freelance,"February 26, 2022",Ukraine,Dangerous Assignment
Ihsan al-Buni,Male,Al-Thawra,"July 12, 2012",Syria,Murder
Ikechukwu Onubogu,Male,Anambra Broadcasting Service (ABS),11/12-11/17/2017,Nigeria,
Ilan Roeh,Male,Israel Radio,"February 28, 1999",Lebanon,Crossfire
Iliyas Hossain,Male,Dainik Bijoy,"October 11, 2020",Bangladesh,Murder
Imad Abu Zahra,Male,Freelance,"July 12, 2002",Israel and the Occupied Palestinian Territory,Crossfire
Imran Shaikh,Male,Samaa TV,"January 10, 2013",Pakistan,Dangerous Assignment
Indika Pathinivasan,Male,Maharaja Television Network,"December 18, 1999",Sri Lanka,Dangerous Assignment
Irshad Mastoi,Male,"Online International News Network, ARY News","August 28, 2014",Pakistan,Murder
Ishmael Jalloh,Male,Freelancer,"June 3, 1997",Sierra Leone,Crossfire
Ismael Jaimes,Male,La Opinion,"May 6, 1992",Colombia,Murder
Ismail Amin Ali,Male,freelance,"August 7, 2006",Iraq,Murder
Israel Gonçalves Silva,Male,Rádio Itaenga FM,"November 10, 2015",Brazil,Murder
Israel Vázquez Rangel,Male,El Salmantino,"November 9, 2020",Mexico,Murder
Issam Abdallah,Male,Reuters,"October 13, 2023",Lebanon,Murder
Issam Obeid,Male,Freelance,"January 31, 2013",Syria,Crossfire
Issam Tillawi,Male,Voice of Palestine,"September 22, 2002",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Ítalo Eduardo Diniz Barros,Male,Blog Ítalo Diniz,"November 13, 2015",Brazil,Murder
Ivan Darío Pelayo,Male,Llanorámica,"August 17, 1995",Colombia,Murder
Ivan Safronov,Male,Kommersant,"March 2, 2007",Russia,Murder
Ivo Pukanic,Male,Nacional,"October 23, 2008",Croatia,Murder
Ivo Standeker,Male,Mladina,"June 17, 1992",Bosnia,Crossfire
Izzet Kezer,Male,Sabah,"March 23, 1992",Turkey,Dangerous Assignment
Jacinto Romero Flores,Male,Ori Stereo FM,"August 19, 2021",Mexico,Murder
Jagadish Babu,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment
Jagendra Singh,Male,Freelance,"June 8, 2015",India,Murder
Jaime Castaño Zacarías,Male,Prensa Libre MX,"December 9, 2020",Mexico,
Jaime Garzón,Male,"Radionet, Caracol Noticias","August 13, 1999",Colombia,Murder
Jaime Rengifo Revero,Male,Olímpica Radio,"April 29, 2003",Colombia,Murder
Jairo Elías Márquez Gallego,Male,El Marqués,"November 20, 1997",Colombia,Murder
Jairo Souza,Male,Rádio Pérola,"June 21, 2018",Brazil,Murder
Jalaa al-Abadi,Male,Nineveh Reporters Network,"July 15, 2015",Iraq,Murder
Jamal Abdul-Nasser Sami,Male,Salaheddin TV,"December 23, 2013",Iraq,Murder
Jamal Al-Faqaawi,Male,Mithaq Media Foundation,"October 25, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Jamal al-Sharaabi,Male,Al-Masdar,"March 18, 2011",Yemen,Dangerous Assignment
Jamal al-Zubaidi,Male,As-Saffir and Al-Dustour,"February 24, 2007",Iraq,Murder
Jamal Farah Adan,Male,Freelance,"March 1, 2021",Somalia,Murder
Jamal Khalifeh,Male,Freelance,"April 1, 2015",Syria,Crossfire
Jamal Khashoggi,Male,The Washington Post,"October 2, 2018",Saudi Arabia,Murder
Jamal Uddin,Male,Gramer Kagoj,"June 15, 2012",Bangladesh,Murder
James Brolan,Male,CBS,"May 29, 2006",Iraq,Crossfire
James Foley,Male,Freelance,August 2014,Syria,Murder
James Miller,Male,Freelance,"May 2, 2003",Israel and the Occupied Palestinian Territory,Crossfire
James Ogogo,Male,Concord Times,"January 8, 1999",Sierra Leone,Murder
James P. Hunter,Male,"Fort Campbell Courier, U.S. military publications","June 24, 2010",Afghanistan,Crossfire
Jamshed Davliyatmamatov,Male,Khovar Information Agency,"December, 1992",Tajikistan,Murder
Ján Kuciak,Male,Aktuality,"February 21, 2018",Slovakia,Murder
Janullah Hashimzada,Male,freelance,"August 24, 2009",Pakistan,Murder
Jarosław Ziętara,Male,Gazeta Poznańska,"Disappeared September 1, 1992",Poland,Murder
Jaruek Rangcharoen,Male,Matichon,"September 27, 2008",Thailand,Murder
Jassim al-Batat,Male,Al-Nakhil TV and Radio,"April 25, 2008",Iraq,Murder
Javed Ahmed Mir,Male,Channel 9,"August 13, 2008",India,Dangerous Assignment
Javed Khan,Male,Markaz and DM Digital TV,"July 3, 2007",Pakistan,Dangerous Assignment
Javed Naseer Rind,Male,Daily Tawar,November 2011,Pakistan,Murder
Javier Enrique Rodríguez Valladares,Male,Canal 10,"August 29, 2018",Mexico,
Javier Valdez Cárdenas,Male,"Ríodoce,La Jornada","May 15, 2017",Mexico,Murder
Jean Cabut (Cabu),Male,Charlie Hebdo,"January 7, 2015",France,Murder
Jean Hélène,Male,Radio France Internationale,"October 21, 2003",Ivory Coast,Murder
Jean Léopold Dominique,Male,Radio Haïti Inter,"April 3, 2000",Haiti,Murder
Jean Saint-Clair Maka Gbossokotto,Male,Anti Infox RCA,"February 23, 2022",Central African Republic,
Jean-Claude Jumel,Male,TF-1,"June 18, 1993",Somalia,Crossfire
Jean-Jacques Ola Bebe,Male,,"February 2-3, 2023",Cameroon,Murder
Jean-Léonard Rugambage,Male,Umuvugizi,"June 26, 2010",Rwanda,Murder
Jean-Rémy Badio,Male,freelance,"January 19, 2007",Haiti,Murder
Jeff German,Male,Las Vegas Review-Journal,"September 2, 2022",USA,Murder
Jefferson Pureza Lopes,Male,Beira Rio FM,"January 17, 2018",Brazil,Murder
"Jenner ""J.C."" Cole",Male,SKY-FM,"January 9, 1999",Sierra Leone,Murder
Jepon Cadagdagon,Male,Saksi News,"November 23, 2009",Philippines,Murder
Jeremy Little,Male,NBC News,"July 6, 2003",Iraq,Crossfire
Jerges Mahmood Mohamad Suleiman,Male,Nineveh TV,"May 31, 2005",Iraq,Murder
Jeroen Oerlemans,Male,Freelance,"October 2, 2016",Libya,Crossfire
Jessé Medina Parra,Male,El Fogonazo,"January 28, 1994",Colombia,Murder
Jesús Abel Bueno León,Male,7 Días,"May 22, 1997",Mexico,Murder
Jesús Alejandro Márquez Jiménez,Male,Orión Informativo,"November 30, 2018 or December 1, 2018",Mexico,
Jesús Alfonso Piñuelas,Male,"Zarathustra Press,El Shock de la Noticia","November 2, 2020",Mexico,
Jesús Eugenio Ramos Rodríguez,Male,Radio Oye 99.9 FM,"February 9, 2019",Mexico,
Jesus Malabanan,Male,"Manila Standard,Manila Times,Bandera","December 8, 2021",Philippines,Murder
Jhoy Duhay,Male,Gold Star Daily,"November 23, 2009",Philippines,Murder
Jihad Jamal,Male,Freelance,"November 2, 2016",Syria,Unknown
Jimmy Higenyi,Male,United Media Consultants and Trainers,"January 12, 2002",Uganda,Dangerous Assignment
Joao Alberto Ferreira Souto,Male,Jornal do Estado,"February 19, 1994",Brazil,Murder
João Miranda do Carmo,Male,SAD Sem Censura,"July 24, 2016",Brazil,Murder
Joaquin Briones,Male,Remate,"March 13, 2017",Philippines,Murder
Joas Dignos,Male,DXGT Radio,"November 29, 2013",Philippines,Murder
Jobert Bercasio,Male,Balangibog,"September 14, 2020",Philippines,Murder
Jochen Piest,Male,Stern,"January 10, 1995",Russia,Crossfire
Joël Mumbere Musavuli,Male,Radio Télévision Communautaire de Babombi,"August 13, 2021",Democratic Republic of the Congo,Murder
Joel Parcon,Male,Prontiera News,"November 23, 2009",Philippines,Murder
Joey Llana,Male,Home Radio Legazpi,"July 20, 2018",Philippines,Murder
John Caniban,Male,Periodico Ini,"November 23, 2009",Philippines,Murder
John Kituyi,Male,Mirror Weekly,"April 30, 2015",Kenya,Murder
John McNamara,Male,Capital Gazette,"June 28, 2018",USA,Murder
John Schofield,Male,BBC,"August 9, 1995",Croatia,Crossfire
John Wesley Amady,Male,Radio Écoute FM,"January 6, 2022",Haiti,Murder
John Williams Ntwali,Male,"The Chronicles,Pax TV-Ireme News","January 18, 2023",Rwanda,
Jojo Trajano,Male,Remate,"June 3, 2009",Philippines,Dangerous Assignment
Jolito Evardo,Male,UNTV,"November 23, 2009",Philippines,Murder
Jomaa Al-Ahmad (Abu al-Nour al-Halabi),Male,Shahba Press Agency,"October 27, 2015",Syria,Crossfire
Jordi Pujol,Male,Avui,"May 17, 1992",Bosnia,Crossfire
Jorge Aguirre,Male,Cadena Capriles (El Mundo),"April 5, 2006",Venezuela,Murder
Jorge Celestino Ruiz Vázquez,Male,El Gráfico,"August 2, 2019",Mexico,Murder
Jorge Enrique Urbano Sánchez,Male,Mar Estéreo,"July 8, 2001",Colombia,Murder
Jorge Ibraín Tortoza Cruz,Male,2001,"April 11, 2002",Venezuela,Dangerous Assignment
Jorge Luis Marroquín Sagastume,Male,Sol Chortí,"June 5, 1997",Guatemala,Murder
Jorge Martín Dorantes,Male,El Crucero,"June 6, 1994",Mexico,Murder
Jorge Miguel Armenta Ávalos,Male,"Última Palabra,Medios Obson","May 16, 2020",Mexico,Murder
Jorge Mynor Alegría Armendáriz,Male,Radio Amatique,"September 5, 2001",Guatemala,Murder
Jorge Posas,Male,Canal 45TV,"July 1, 2020",Honduras,
José Abelardo Liz,Male,Nación Nasa,"August 13, 2020",Colombia,Dangerous Assignment
José Agustín Silvestre de los Santos,Male,"La Voz de la Verdad, Caña TV","August 2, 2011",Dominican Republic,Murder
José Arita,Male,Puerto Visión,"November 25, 2019",Honduras,
José Armando Rodríguez Carreón,Male,El Diario de Ciudad Juárez,"November 13, 2008",Mexico,Murder
José Cândido de Amorim Filho,Male,Rádio Alternativa,"July 1, 2005",Brazil,Murder
José Carlos Araújo,Male,Rádio Timbaúba FM,"April 24, 2004",Brazil,Murder
José Carlos Mesquita,Male,TV Ouro Verde,"March 10, 1998",Brazil,Murder
José Carmelo Bislick Acosta,Male,Omega 94.1 FM,"August 17-18, 2020",Venezuela,
José Couso,Male,Telecinco,"April 8, 2003",Iraq,Crossfire
José Duviel Vásquez Arias,Male,La Voz de la Selva,"July 6, 2001",Colombia,Murder
José Emeterio Rivas,Male,Radio Calor Estéreo,"April 6, 2003",Colombia,Murder
José Everardo Aguilar,Male,Radio Súper and Bolívar Estéreo,"April 29, 2009",Colombia,Murder
José Guadalupe Chan Dzib,Male,Semanario Playa News,"June 29, 2018",Mexico,
José Luis Cabezas,Male,Noticias,"January 25, 1997",Argentina,Murder
José Luis Gamboa Arenas,Male,"Inforegiom,La Noticia","January 10, 2022",Mexico,
José Luis López de la Calle,Male,El Mundo,"May 7, 2000",Spain,Murder
José Luis Ortega Mata,Male,Semanario de Ojinaga,"February 19, 2001",Mexico,Murder
Jose Manuel,Male,Benguela Province Radio,"May 1, 1993",Angola,Murder
Jose Maria dos Santos,Male,Radio Morena,"May 1, 1993",Angola,Murder
José Moisés Sánchez Cerezo,Male,La Unión,"January 2, 2015",Mexico,Murder
José Roberto Ornelas de Lemos,Male,Jornal Hora H,"June 11, 2013",Brazil,Murder
Joselito Agustin,Male,DZJC,"June 15, 2010",Philippines,Murder
Joseph Hernández Ochoa,Male,TV Channel 51,"March 1, 2010",Honduras,Murder
"Juan ""Jun"" Pala",Male,DXGO Radio,"September 6, 2003",Philippines,Murder
Juan Arjón López,Male,A Qué Le Temes,"August 2 to 16, 2022",Mexico,
Juan Camilo Restrepo Guerra,Male,Radio Galaxia Estéreo,"October 31, 2000",Colombia,Murder
Juan Carlos Benavides Arévalo,Male,Manantial Estéreo,"August 22, 2003",Colombia,Crossfire
Juan Carlos Encinas,Male,Freelancer,"July 29, 2001",Bolivia,Dangerous Assignment
Juan Carlos Muñiz,Male,Testigo Minero,"March 4, 2022",Mexico,
Juan Carlos Vásquez,Male,Ultima Hora,"July 2, 1995",Dominican Republic,Murder
Juan Emilio Andújar Matos,Male,Radio Azua and Listín Diario,"September 14, 2004",Dominican Republic,Murder
Juan Javier Ortega Reyes,Male,El Comercio,April 10-April 12 2018,Colombia,Murder
Juan Jumalon,Male,94.7 Gold Mega Calamba FM,"November 5, 2023",Philippines,
Julio Anguita Parrado,Male,El Mundo,"April 7, 2003",Iraq,Crossfire
Julio Augusto García Romero,Male,La Bocina and Punto de Vista,"April 19, 2005",Ecuador,Dangerous Assignment
Julio César Da Rosa,Male,Radio del Centro,"February 24, 2000",Uruguay,Murder
Julio Fuentes,Male,El Mundo,"November 19, 2001",Afghanistan,Murder
Julio Hernando Palacios Sánchez,Male,Radio Lemas,"January 11, 2005",Colombia,Murder
Julio Valdivia,Male,El Mundo,"September 9, 2020",Mexico,Murder
Jyotirmoy Dey,Male,Midday,"June 11, 2011",India,Murder
Kamal Hossain,Male,Ajker Kagoj,"August 22, 2004",Bangladesh,Murder
Kamal Manahi Anbar,Male,freelance,"March 26, 2006",Iraq,Crossfire
Kamel abu al-Walid,Male,Jarabulus Media Office,"March 19, 2018",Syria,Crossfire
Karam Hussein,Male,European Pressphoto Agency,"October 14, 2004",Iraq,Murder
Karam Kabishou,Male,Sama TV,"December 29, 2017",Syria,Crossfire
Karim Fakhrawi,Male,Al-Wasat,"April 11 or 12, 2011",Bahrain,Murder
Karun Misra,Male,Jansandesh Times,"February 13, 2016",India,Murder
Kaset Puengpak,Male,Thai Rath,"May 2, 2001",Thailand,Murder
Katha Satyanarayana,Male,Andhra Jyothy,"October 15, 2019",India,
Kaveh Golestan,Male,freelance,"April 2, 2003",Iraq,Crossfire
Kawa Garmyane,Male,"Rayel, Awene","December 5, 2013",Iraq,Murder
Kazbek Gekkiyev,Male,VGTRK,"December 5, 2012",Russia,Murder
Kemal Kilic,Male,Ozgur Gundem,"February 25, 1993",Turkey,Murder
Ken Oosterbroek,Male,The Star,"April 18, 1994",South Africa,Crossfire
Kenji Goto,Male,Freelance,January 2015,Syria,Murder
Kenji Nagai,Male,APF News,"September 27, 2007",Myanmar,Murder
Kerem Lawton,Male,Associated Press Television News,"March 29, 2001",Yugoslavia,Crossfire
Khaled Abdel Thamer,Male,Al-Iraqiya,"March 10, 2014",Iraq,Dangerous Assignment
Khaled al-Attar,Male,Al-Iraqiya,"July 1, 2005",Iraq,Murder
Khaled al-Khateb,Male,RT,"July 30, 2017",Syria,Crossfire
Khaled al-Washli,Male,Al-Masirah TV,"January 4, 2015",Yemen,Dangerous Assignment
Khaled al-Zintani,Male,Freelance,"June 24, 2016",Libya,Crossfire
Khaled Eissa,Male,Freelance,"June 24, 2016",Syria,Murder
Khaled Fayyad Obaid al-Hamdani,Male,Nahrain,"April 12, 2007",Iraq,Crossfire
Khaled Mahmoud al-Falahi,Male,Wasan Productions and Al-Arabiya,"February 23, 2006",Iraq,Murder
Khaled Reyadh Hamad,Male,Continue Production Films,"July 20, 2014",Israel and the Occupied Palestinian Territory,Crossfire
Khalid Ali Hamada,Male,Al-Ahad TV,"June 15, 2014",Iraq,Crossfire
Khalid W. Hassan,Male,The New York Times,"July 13, 2007",Iraq,Murder
Khem Sambo,Male,Moneaseka Khmer,"July 11, 2008",Cambodia,Murder
Khushvaht Muborakshoev,Male,Tajikistan State Television,"December, 1992",Tajikistan,Murder
Khushvakht Haydarsho,Male,Jumhuriyat,"May 18, 1994",Tajikistan,Murder
Kirill Radchenko,Male,The Investigations Management Centre (TsUR),"July 30, 2018",Central African Republic,Murder
Kjasif Smajlovic,Male,Oslobodjenje,"April 9, 1992",Bosnia,Murder
Kladoumbaye Maxime,Male,Agence Tchadienne de Presse,"January 18, 1992",Chad,
Klein Cantoneros,Male,DXAA-FM,"May 4, 2005",Philippines,Murder
Kotaro Ogawa,Male,freelance,"May 27, 2004",Iraq,Crossfire
Krishna Sen,Male,Janadisha,"May 27, 2002",Nepal,
Kruno Marinovic,Male,Croatian State Radio,"April 14, 1992",Bosnia,Murder
Kurt Schork,Male,Reuters,"May 24, 2000",Sierra Leone,Crossfire
Kutlu Adali,Male,Yeni Düzen,"July 6, 1996",Cyprus,Murder
Lahcene Bensaadallah,Male,El-Irshad,"October 12, 1994",Algeria,Murder
Laith al-Dulaimi,Male,Al-Nahrain,"May 8, 2006",Iraq,Murder
Lanka Jayasundara,Male,Wijeya Publications,"December 11, 2004",Sri Lanka,Dangerous Assignment
Larry Que,Male,Catanduanes News Now,"December 20, 2016",Philippines,Murder
Lasantha Wickrematunge,Male,The Sunday Leader,"January 8, 2009",Sri Lanka,Murder
Laurent Ángel Castillo Cifuentes,Male,Nuestro Diario,"Late January, early February",Guatemala,
Lawrence Fahmy al-Naimi,Male,Shaam News Network,"May 27, 2012",Syria,Crossfire
Leiron Kogoya,Male,Papua Pos Nabire and Pasifik Pos Dail,"April 8, 2012",Indonesia,Dangerous Assignment
Leobardo Vázquez Atzin,Male,Enlace Informativo Regional,"March 21, 2018",Mexico,Murder
Leonardo Diaz,Male,"Sapol,Balita,Radio Mindanao Network","August 7, 2017",Philippines,
Leonardo Gabriel Hernández,Male,Valle TV,"March 17, 2019",Honduras,Murder
Leonardo Pinheiro,Male,A Voz Araruamense,"May 13, 2020",Brazil,
Liban Abdullahi Farah,Male,Kalsan TV,"July 7, 2013",Somalia,Murder
Liban Ali Nur,Male,Somali National TV,"September 20, 2012",Somalia,Murder
Libardo Montenegro,Male,Freelance,"June 11, 2019",Colombia,
Lindo Lupogan,Male,Mindanao Daily Gazette,"November 23, 2009",Philippines,Murder
Loay al-Nimir,Male,Freelance,"January 31, 2013",Syria,Crossfire
Lokman Slim,Male,Freelance,"February 3 or 4, 2021",Lebanon,Murder
Louay Sadiq Meshaal,Male,Al-Nujaba TV,"October 1, 2017",Iraq,Crossfire
Lourenço Veras,Male,Porã News,"February 12, 2020",Paraguay,Murder
Lucas Mebrouk Dolega,Male,European Pressphoto Agency,"January 17, 2011",Tunisia,Dangerous Assignment
Luciano Leitão Pedrosa,Male,TV Vitória and Radio Metropolitana FM,"April 9, 2011",Brazil,Murder
Luis Alonzo Almendares,Male,Freelance,"September 27, 2020",Honduras,Murder
Luis Antonio Peralta Cuéllar,Male,Linda Stereo,"February 14, 2015",Colombia,Murder
Luis Carlos Santiago,Male,El Diario,"September 16, 2010",Mexico,Murder
Luis Eduardo Alfonso Parada,Male,Radio Meridiano-70,"March 18, 2003",Colombia,Murder
Luis Emanuel Ruiz Carrillo,Male,La Prensa,"March 25, 2011",Mexico,Murder
Luis Enrique Ramírez,Male,"El Debate,Fuentes Fidegnas","May 5, 2022",Mexico,
Luis Gabriel Pereira,Male,Notiorense,"May 9, 2023",Colombia,
Luís Gustavo da Silva,Male,Freelance,"June 14, 2017",Brazil,Murder
Luis Mario García Rodríguez,Male,La Tarde,"February 12, 1998",Mexico,Murder
Luiz Antônio da Costa,Male,Época,"July 23, 2003",Brazil,Murder
Luiz Carlos Barbon Filho,Male,"Jornal do Porto, JC Regional, and Rádio Porto FM","May 5, 2007",Brazil,Murder
Luke Somers,Male,Freelance,"December 6, 2014",Yemen,Murder
Łukasz Masiak,Male,Nasza Mława,"June 14, 2015",Poland,Murder
M. L. Manchanda,Male,All India Radio,"May 18, 1992",India,Murder
Mabay Kamara,Male,Freelancer,"January 9, 1999",Sierra Leone,Murder
Madjid Yacef,Male,L'Hebdo Libéré,"March 20, 1994",Algeria,Murder
Mafaldo Bezerra Goes,Male,FM Rio Jaguaribe,"February 22, 2013",Brazil,Murder
Magomed Yevloyev,Male,Ingushetiya,"August 31, 2008",Russia,Murder
Magomedzagid Varisov,Male,Novoye Delo,"June 28, 2005",Russia,Murder
Mahad Ahmed Elmi,Male,Capital Voice,"August 11, 2007",Somalia,Murder
Mahad Ali Mohamed,Male,Codka Mudug Radio,"November 6, 2016",Somalia,Crossfire
Mahad Salad Adan,Male,Shabelle Media Network,"April 5, 2012",Somalia,Murder
