name,gender,organization,date,location,type_of_death,attack,role,region,year
Mohamed Lamine Legoui,Male,Algerian Press Service,"July 21, 1994",Algeria,Murder,Killed,Journalist,,1994
Mohamed Meceffeuk,Male,Détective,"April 13, 1994",Algeria,Murder,Killed,Journalist,,1994
Mohamed Mekati,Male,El-Moudjahid,"January 10, 1996",Algeria,Murder,Killed,Journalist,,1996
Mohamed Mohamud,Male,Universal TV,"October 26, 2013",Somalia,Murder,Killed,Journalist,,2013
Mohamed Mohamud Turyare,Male,Shabelle Media Network,"October 28, 2012",Somalia,Murder,Killed,Journalist,,2012
Mohamed Mouin Ayyash,Male,Unknown,"November 23, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Mohamed Nabil Al-Zaq,Male,Al Quds,"November 22, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Mohamed Quratem,Male,Enab Baladi,"November 28, 2012",Syria,Crossfire,Killed,Journalist,,2012
Mohamed Saeed al-Hamwi,Male,Qaboun Media Center,"February 17, 2013",Syria,Crossfire,Killed,Journalist,,2013
Mohamed Sahal Omar,Male,SBC TV,"July 12 or 13, 2019",Somalia,Dangerous Assignment,Killed,Journalist,,2019
Mohamed Salah Benachour,Male,Algerian Press Service,"October 20, 1994",Algeria,Murder,Killed,Journalist,,1994
Mohamed Shamsan,Male,Yemen Today,"April 20, 2015",Yemen,Crossfire,Killed,Journalist,,2015
Mohamed Taani,Male,SMART News Agency,"June 27, 2014",Syria,Crossfire,Killed,Journalist,,2014
Mohamed Yamen Naddaf,Male,Shahba Press,"November 24, 2013",Syria,Crossfire,Killed,Journalist,,2013
Mohammad Abbas Mohammad,Male,Al-Bayinnah al-Jadida,"August 7, 2006",Iraq,Murder,Killed,Journalist,,2006
Mohammad al-Qadasi,Male,Belqees TV,"January 22, 2018",Yemen,Crossfire,Killed,Journalist,,2018
Mohammad Balousha,Male,Palestine Today,"October 17, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Mohammad Hilal Karji,Male,Baghdad TV,"June 6, 2007",Iraq,Murder,Killed,Journalist,,2007
Mohammad Imran,Male,Express TV,"January 4, 2009",Pakistan,Dangerous Assignment,Killed,Journalist,,2009
Mohammad Jarghoun,Male,Smart Media,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Mohammad Milad,Male,SANA (Syrian Arab News Agency),"October 10, 2017",Syria,Motive Unconfirmed,Killed,Journalist,,2017
Mohammad Nasir Mudasir,Male,Melli Paigham Radio,"December 15, 2016",Afghanistan,Murder,Killed,Journalist,,2016
Mohammad Quamruzzaman,Male,Neel Sagar,"February 19, 1996",Bangladesh,Dangerous Assignment,Killed,Journalist,,1996
Mohammad Saeed,Male,Al-Arabiya,"October 29, 2013",Syria,Murder,Killed,Journalist,,2013
Mohammad Salim Angaar,Male,Radio Television Afghanistan,"October 18, 2018",Afghanistan,Dangerous Assignment,Killed,Journalist,,2018
Mohammad Samdani Warsi,Male,Parcham,"December 6, 1994",Pakistan,Murder,Killed,Journalist,,1994
Mohammad Shamma,Male,Al-Ikhbariya,"June 27, 2012",Syria,Crossfire,Killed,Journalist,,2012
Mohammed Abdullahi Khalif,Male,Voice of Peace,"May 5, 2007",Somalia,Crossfire,Killed,Journalist,,2007
Mohammed al-Asfar,Male,Al-Jazeera,"June 26, 2015",Syria,Crossfire,Killed,Journalist,,2015
Mohammed al-Ashram,Male,Al-Ikhbariya,"October 10, 2012",Syria,Crossfire,Killed,Journalist,,2012
Mohammed al-Nabbous,Male,Libya Al-Hurra TV,"March 19, 2011",Libya,Crossfire,Killed,Journalist,,2011
Mohammed al-Qasim,Male,Rozana Radio,"September 10, 2014",Syria,Crossfire,Killed,Journalist,,2014
Mohammed Al-Salhi,Male,Fourth Authority news agency,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Mohammed Ali,Male,Al-Shabab Radio (Youth Radio),"October 20, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Mohammed Eissa,Male,Nateq Network,October 2015 - June 2016,Syria,Murder,Killed,Journalist,,
Mohammed Ghalib al-Majidi,Male,Freelancer,"March 21, 2016",Yemen,Crossfire,Killed,Journalist,,2016
Mohammed Ghanem,Male,Al-Sharqiyah,"October 5, 2013",Iraq,Murder,Killed,Journalist,,2013
Mohammed Haroon,Male,Al-Kadiya,"October 19, 2005",Iraq,Murder,Killed,Journalist,,2005
Mohammed Hussein Navab,Male,Keyhan,"August 30, 1994",Bosnia,Murder,Killed,Journalist,,1994
Mohammed Hussein Rasho,Male,Cira TV,"October 14, 2019",Syria,Crossfire,Killed,Journalist,,2019
Mohammed Ibrahim,Male,Express TV and Daily Express,"May 22, 2008",Pakistan,Murder,Killed,Journalist,,2008
Mohammed Kamara,Male,SKY-FM,"January 9, 1999",Sierra Leone,Murder,Killed,Journalist,,1999
Mohammed Karim al-Badrani,Male,Al-Sharqiyah,"October 5, 2013",Iraq,Murder,Killed,Journalist,,2013
Mohammed Muslimuddin,Male,Asomiya Pratidin,"April 1, 2008",India,Murder,Killed,Journalist,,2008
Mohammed Salahuddin,Male,Takbeer,"December 4, 1994",Pakistan,Murder,Killed,Journalist,,1994
Mohammed Sayyed Hassan,Male,"All4Syria, Al-Nabaa Media Center","August 1, 2016",Syria,Crossfire,Killed,Journalist,,2016
Mohammed Sobh,Male,“Khabar” News Agency,"October 9, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Mohammed Taha Mohammed Ahmed,Male,Al-Wifaq,"September 6, 2006",Sudan,Murder,Killed,Journalist,,2006
Mohamud Mohamed Yusuf,Male,Radio IQK,"July 4, 2009",Somalia,Crossfire,Killed,Journalist,,2009
Mohan Hussein al-Dhahir,Male,Al-Mashreq,"March 4, 2007",Iraq,Murder,Killed,Journalist,,2007
Mohieldin Al Naqeeb,Male,Al-Iraqiya,"June 17, 2008",Iraq,Murder,Killed,Journalist,,2008
Mohiuddin Sarker Nayeem,Male,Dainik Cumillar Dak,"April 13, 2022",Bangladesh,Motive Unconfirmed,Killed,Journalist,,2022
Mohsen Khazaei,Male,Islamic Republic of Iran Broadcasting,"November 12, 2016",Syria,Crossfire,Killed,Journalist,,2016
Mohyedin Alempour,Male,BBC,"December 12, 1995",Tajikistan,Murder,Killed,Journalist,,1995
Molhem Barakat,Male,Freelancer,"December 20, 2013",Syria,Crossfire,Killed,Journalist,,2013
Montaser Al-Sawaf,Male,Anadolu Agency,"December 1, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Moolchand Yadav,Male,Freelancer,"July 30, 2001",India,Murder,Killed,Journalist,,2001
Mosaab al-Obdaallah,Male,Tishreen,"August 22, 2012",Syria,Murder,Killed,Journalist,,2012
Mosaab al-Shami,Male,Rassd News Network,"August 14, 2013",Egypt,Dangerous Assignment,Killed,Journalist,,2013
Mossab Ashour,Male,Unknown,"November 18, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Mostafa Bakeer,Male,Al Aqsa TV,"November 24, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Mostafa El Sawaf,Male,MSDR News,"November 18, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Mouaz Alomar (Abu Mehdi Al Hamwi),Male,Freelancer,"April 25, 2014",Syria,Crossfire,Killed,Journalist,,2014
Mouloud Barroudi,Male,National Agency of Filmed News,"September 25, 1994",Algeria,Murder,Killed,Journalist,,1994
Mounir Bouamrane,Male,TVP,"May 7, 2004",Iraq,Crossfire,Killed,Journalist,,2004
Mourad Hmaizi,Male,Algerian State Television,"May 27, 1995",Algeria,Murder,Killed,Journalist,,1995
Moustapha Ourrad,Male,Charlie Hebdo,"January 7, 2015",France,Murder,Killed,Journalist,,2015
Muammar Khadir Abdelwahad,Male,Al-Ayn,"March 29, 2011",Iraq,Dangerous Assignment,Killed,Journalist,,2011
Mubarak al-Abadi,Male,Nabaa Media Foundation,"August 5, 2016",Yemen,Crossfire,Killed,Journalist,,2016
Muftah al-Qatrani,Male,Al-Anwar,"April 22, 2015",Libya,Murder,Killed,Journalist,,2015
Muftah Bu Zeid,Male,Brnieq,"May 26, 2014",Libya,Murder,Killed,Journalist,,2014
Muhammad al-Ban,Male,Al-Sharqiya,"November 13, 2006",Iraq,Murder,Killed,Journalist,,2006
Muhammad al-Bishawi,Male,"Najah Press Office, IslamOnline","July 31, 2001",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,,2001
Muhammad al-Rabou'e,Male,Al-Qahira,"February 13, 2010",Yemen,Murder,Killed,Journalist,,2010
Muhammad Arif,Male,ARY Television,"October 19, 2007",Pakistan,Dangerous Assignment,Killed,Journalist,,2007
Muhammad Bilal Khan,Male,Freelancer,"June 16, 2019",Pakistan,Motive Unconfirmed,Killed,Journalist,,2019
Muhammad Hassan Al-Musalama,Male,Revolutionaries of Daraa Al-Muhata – Tariq Al-Sadd,"August 20, 2013",Syria,Crossfire,Killed,Journalist,,2013
Muhammad Sayuti Bochari,Male,Pos Makasar,"June 11, 1997",Indonesia,Murder,Killed,Journalist,,1997
Muhammad Yusuf,Male,Kemajuan Rakyat,"June 10, 2018",Indonesia,Motive Unconfirmed,Killed,Journalist,,2018
Muhammad Zada Agra,Male,"Sada-e-Malakand,Citizen Journalist PK","November 8, 2021",Pakistan,Murder,Killed,Journalist,,2021
Muhammed Tariq Jadua,Male,Jisr Al-Shaghur Multimedia Network,"July 27, 2013",Syria,Crossfire,Killed,Journalist,,2013
Muhannad Ghanem Ahmad al-Obaidi,Male,Dar al-Salam,"September 20, 2007",Iraq,Murder,Killed,Journalist,,2007
Muhsin Khudhair,Male,Alef Ba,"March 13, 2006",Iraq,Murder,Killed,Journalist,,2006
Mukarram Khan Aatif,Male,Freelancer,"January 17, 2012",Pakistan,Murder,Killed,Journalist,,2012
Mukhtar Mohamed Hirabe,Male,Radio Shabelle,"June 8, 2009",Somalia,Murder,Killed,Journalist,,2009
Mukhtor Bugdiev,Male,Khovar Information Agency,"December, 1992",Tajikistan,Murder,Killed,Journalist,,1992
Munir Ahmed Sangi,Male,Kawish Television Network,"May 29, 2006",Pakistan,Crossfire,Killed,Journalist,,2006
Munir Turay,Male,Freelancer,"January, 1999",Sierra Leone,Murder,Killed,Journalist,,1999
Munsuf Abdallah al-Khaldi,Male,Baghdad TV,"March 7, 2006",Iraq,Murder,Killed,Journalist,,2006
Murodullo Sheraliev,Male,Sadoi Mardum,"May 5, 1992",Tajikistan,Dangerous Assignment,Killed,Journalist,,1992
Musa Abdul Kareem,Male,Fasanea,"July 31, 2018",Libya,Murder,Killed,Journalist,,2018
Musa Anter,Male,Özgür Gündem,"September 20, 1992",Turkey,Murder,Killed,Journalist,,1992
Musa Khankhel,Male,Geo TV and The News,"February 18, 2009",Pakistan,Murder,Killed,Journalist,,2009
Musa Mohamed,Male,Raja FM,"January 25, 2015",South Sudan,Murder,Killed,Journalist,,2015
Musab Mahmood al-Ezawi,Male,Al-Sharqiya,"September 13, 2008",Iraq,Murder,Killed,Journalist,,2008
Mushtaq Ali,Male,Agence France-Presse and Asian News International,"September 10, 1995",India,Murder,Killed,Journalist,,1995
Mushtaq Khand,Male,Dharti Television Network and Mehran,"October 7, 2012",Pakistan,Dangerous Assignment,Killed,Journalist,,2012
Mustaf Abdi Noor,Male,Freelancer,"November 1, 2015",Somalia,Dangerous Assignment,Killed,Journalist,,2015
Mustafa Abada,Male,Algerian State Television,"October 14, 1993",Algeria,Murder,Killed,Journalist,,1993
Mustafa Abdul Hassa,Male,Shaam News Network,October 2015 - June 2016,Syria,Murder,Killed,Journalist,,
Mustafa Gaimayani,Male,Kirkuk al-Yawm and Hawal,"July 16, 2007",Iraq,Murder,Killed,Journalist,,2007
Mustafa Jeha,Male,Al-Amal,"January 15, 1992",Lebanon,Murder,Killed,Journalist,,1992
Mustafa Said,Male,Kurdistan TV,"August 14, 2016",Iraq,Crossfire,Killed,Journalist,,2016
Mustafa Salamah,Male,Sama TV,"July 16, 2018",Syria,Crossfire,Killed,Journalist,,2018
Muthanna Abdel Hussein,Male,Al-Iraqiya,"March 10, 2014",Iraq,Dangerous Assignment,Killed,Journalist,,2014
MVN Shankar,Male,Andhra Prabha,"November 26, 2014",India,Murder,Killed,Journalist,,2014
Myles Tierney,Male,Associated Press Television News,"January 10, 1999",Sierra Leone,Crossfire,Killed,Journalist,,1999
Mylvaganam Nimalarajan,Male,"BBC, Virakesari, Ravaya","October 19, 2000",Sri Lanka,Murder,Killed,Journalist,,2000
Nabil Hasan al-Quaety,Male,Freelancer,"June 2, 2020",Yemen,Murder,Killed,Journalist,,2020
Nabil Ibrahim al-Dulaimi,Male,Radio Dijla,"December 4, 2006",Iraq,Murder,Killed,Journalist,,2006
Nacer Ouari,Male,Algerian State Television,"February 1, 1995",Algeria,Murder,Killed,Journalist,,1995
Nadir Shah Sahibzada,Male,Sada-e-Gardiz Radio,"July 12, 2019",Afghanistan,Motive Unconfirmed,Killed,Journalist,,2019
Nahar Ali,Male,Anirban,"April 21, 2001",Bangladesh,Murder,Killed,Journalist,,2001
Nahúm Palacios Arteaga,Male,TV Channel 5,"March 14, 2010",Honduras,Murder,Killed,Journalist,,2010
Naimatullah Zaheer,Male,Ariana News,"November 4, 2016",Afghanistan,Crossfire,Killed,Journalist,,2016
Naimullah,Male,Sinar Pagi,"July 25, 1997",Indonesia,Murder,Killed,Journalist,,1997
Najem Abed Khudair,Male,Al-Mada,"May 15, 2005",Iraq,Murder,Killed,Journalist,,2005
Naji Asaad,Male,Tishreen,"December 4, 2012",Syria,Crossfire,Killed,Journalist,,2012
Naji Jerf,Male,"Hentah, Raqqa is Being Slaughtered Silently","December 27, 2015",Turkey,Murder,Killed,Journalist,,2015
Namik Taranci,Male,Gercek,"November 20, 1992",Turkey,Murder,Killed,Journalist,,1992
Namir Noor-Eldeen,Male,Reuters,"July 12, 2007",Iraq,Crossfire,Killed,Journalist,,2007
Napoleon Salaysay,Male,Mindanao Gazette,"November 23, 2009",Philippines,Murder,Killed,Journalist,,2009
Narcisse Orédjé,Male,Radio Cefod,"October 20, 2022",Chad,Dangerous Assignment,Killed,Journalist,,2022
Narendra Dabholkar,Male,Sadhana,"August 20, 2013",India,Murder,Killed,Journalist,,2013
Nasrullah Khan Afridi,Male,Pakistan Television and Mashriq,"May 10, 2011",Pakistan,Murder,Killed,Journalist,,2011
Nasseredine Lekhal,Male,El-Massa,"November 30, 1994",Algeria,Murder,Killed,Journalist,,1994
Nasteh Dahir Farah,Male,Freelancer,"June 7, 2008",Somalia,Murder,Killed,Journalist,,2008
Nathan S. Dabak,Male,The Light Bearer,"April 24, 2010",Nigeria,Murder,Killed,Journalist,,2010
Nava Raj Sharma,Male,Kadam,"June 1, 2002",Nepal,Murder,Killed,Journalist,,2002
Naveen Gupta,Male,Hindustan,"November 30, 2017",India,Motive Unconfirmed,Killed,Journalist,,2017
Navin Nischal,Male,Dainik Bhaskar,"March 25, 2018",India,Murder,Killed,Journalist,,2018
Nazar Abdulwahid al-Radhi,Male,Aswat al-Iraq and Radio Free Iraq,"May 30, 2007",Iraq,Murder,Killed,Journalist,,2007
Nazih Darwazeh,Male,APTN,"April 19, 2003",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,,2003
Nazim Babaoglu,Male,Ozgur Gundem,"March 12, 1994",Turkey,Motive Unconfirmed,Killed,Journalist,,1994
Néhémie Joseph,Male,"Radio Panic FM,Radio Méga","October 10, 2019",Haiti,Murder,Killed,Journalist,,2019
Nelson Carvajal Carvajal,Male,Radio Sur,"April 16, 1998",Colombia,Murder,Killed,Journalist,,1998
Nelson Matus Peña,Male,Lo Real de Guerrero,"July 15, 2023",Mexico,Motive Unconfirmed,Killed,Journalist,,2023
Nevith Condés Jaramillo,Male,El Observatorio del Sur,"August 24, 2019",Mexico,Murder,Killed,Journalist,,2019
Nicanor Linhares Batista,Male,Rádio Vale do Jaguaribe,"June 30, 2003",Brazil,Murder,Killed,Journalist,,2003
Nikolai Andrushchenko,Male,Novy Peterburg,"April 19, 2017",Russia,Murder,Killed,Journalist,,2017
Niloy Neel,Male,Freelancer,"August 7, 2015",Bangladesh,Murder,Killed,Journalist,,2015
Nils Horner,Male,Sveriges Radio,"March 11, 2014",Afghanistan,Dangerous Assignment,Killed,Journalist,,2014
Niraz Saeed,Male,Freelancer,September 2016,Syria,Motive Unconfirmed,Killed,Journalist,,
Nizar Thanoun,Male,Al-Rasheed TV,"February 11, 2020",Iraq,Motive Unconfirmed,Killed,Journalist,,2020
Noel Decina,Male,Periodico Ini,"November 23, 2009",Philippines,Murder,Killed,Journalist,,2009
Noel López Olguín,Male,Freelancer,March 2011,Mexico,Murder,Killed,Journalist,,
Noel Villarante,Male,DZJV Radio and Laguna Score,"August 19, 2003",Philippines,Murder,Killed,Journalist,,2003
Noor Hakim Khan,Male,Daily Pakistan,"June 2, 2007",Pakistan,Dangerous Assignment,Killed,Journalist,,2007
Noramfaizul Mohd,Male,Bernama TV,"September 2, 2011",Somalia,Dangerous Assignment,Killed,Journalist,,2011
Norbert Zongo,Male,L'indepéndent,"December 13, 1998",Burkina Faso,Murder,Killed,Journalist,,1998
Norberto Miranda Madrid,Male,Radio Visión,"September 23, 2009",Mexico,Murder,Killed,Journalist,,2009
Norvey Díaz,Male,Radio Colina,"October 18, 1996",Colombia,Murder,Killed,Journalist,,1996
Noufel al-Shimari,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder,Killed,Journalist,,2006
Nour al-Din Al-Hafiri,Male,Freelancer,"September 29, 2013",Syria,Crossfire,Killed,Journalist,,2013
Noureddine Hashim,Male,Al Etihad Press,"March 8, 2015",Syria,Crossfire,Killed,Journalist,,2015
Novruzali Mamedov,Male,Talyshi Sado,"August 17, 2009",Azerbaijan,Dangerous Assignment,Killed,Journalist,,2009
Nowroz Ali Rajabi,Male,1TV,"April 30, 2018",Afghanistan,Murder,Killed,Journalist,,2018
Nun Chan,Male,Samleng Yuvachun Khmer,"September 6, 1994",Cambodia,Murder,Killed,Journalist,,1994
Nur Muse Hussein,Male,Radio IQK,"May 26, 2009",Somalia,Crossfire,Killed,Journalist,,2009
Obada Ghazal,Male,SMART News Agency,"September 26, 2015",Syria,Crossfire,Killed,Journalist,,2015
Obed Bazimaziki,Male,Le Flambeau,"April 11, 1994",Rwanda,Murder,Killed,Journalist,,1994
Obed Nangbatna,Male,Télé Tchad,"May 25, 2019",Chad,Crossfire,Killed,Journalist,,2019
Obeida abu Omar,Male,Damaski Media Agency,"March 21, 2018",Syria,Crossfire,Killed,Journalist,,2018
Octavio Rojas Hernández,Male,El Buen Tono,"August 11, 2014",Mexico,Murder,Killed,Journalist,,2014
Okezie Amaruben,Male,Newsservice,"September 2, 1998",Nigeria,Murder,Killed,Journalist,,1998
Olim Zarobekov,Male,Tajikistan Radio,"May 7, 1992",Tajikistan,Dangerous Assignment,Killed,Journalist,,1992
Olimjon Yorasonov,Male,Unknown,June or July 1993,Tajikistan,Murder,Killed,Journalist,,
Olimpio Jalapit Jr.,Male,DXPR Radio,"November 17, 2000",Philippines,Murder,Killed,Journalist,,2000
Olivier Quemener,Male,Freelancer,"February 1, 1994",Algeria,Murder,Killed,Journalist,,1994
Olivier Voisin,Male,Freelancer,"February 24, 2013",Syria,Crossfire,Killed,Journalist,,2013
Omar Abdul Qader,Male,Al-Mayadeen,"March 8, 2014",Syria,Crossfire,Killed,Journalist,,2014
Omar Ezzi Mohammad,Male,Al-Maraweah Radio Broadcasting Center,"September 16, 2018",Yemen,Crossfire,Killed,Journalist,,2018
Omar Iván Camacho Mascareño,Male,"Noticieros Altavoz,Évora Sport","March 24, 2019",Mexico,Motive Unconfirmed,Killed,Journalist,,2019
Omar Ouartilan,Male,El-Khabar,"October 3, 1995",Algeria,Murder,Killed,Journalist,,1995
Omar Rasim al-Qaysi,Male,Al-Anbar TV,"December 12, 2010",Iraq,Crossfire,Killed,Journalist,,2010
Omidreza Mirsayafi,Male,Rooznegar,"March 18, 2009",Iran,Dangerous Assignment,Killed,Journalist,,2009
Onifade Emmanuel Pelumi,Male,Gboah TV,"October 24-30, 2020",Nigeria,Dangerous Assignment,Killed,Journalist,,2020
Orel Sambrano,Male,ABC de la Semana and Radio América,"January 16, 2009",Venezuela,Murder,Killed,Journalist,,2009
Orhan Hijran,Male,Al-Rasheed,"October 21, 2009",Iraq,Crossfire,Killed,Journalist,,2009
Orkhan Dzhemal,Male,The Investigations Management Centre (TsUR),"July 30, 2018",Central African Republic,Murder,Killed,Journalist,,2018
Orlando “Dondon” Dinoy,Male,"Newsline Philippines,Energy FM","October 30, 2021",Philippines,Murder,Killed,Journalist,,2021
Orlando Sierra Hernández,Male,La Patria,"February 1, 2002",Colombia,Murder,Killed,Journalist,,2002
Orlando Villanueva,Male,Noticias del Puerto,"March 8, 2022",Guatemala,Motive Unconfirmed,Killed,Journalist,,2022
Osama al-Habaly,Male,Abounaddara Collective,Date Unknown,Syria,Motive Unconfirmed,Killed,Journalist,,
Osama Jumaa,Male,Images Live,"June 5, 2016",Syria,Crossfire,Killed,Journalist,,2016
Osama Nasr al-Zoabi,Male,Syrian Media Organization (SMO),"August 21, 2017",Syria,Crossfire,Killed,Journalist,,2017
Oscar García Calderón,Male,El Espectador,"February 22, 1998",Colombia,Murder,Killed,Journalist,,1998
Othman al-Mashhadani,Male,Al-Watan,"April 6, 2007",Iraq,Murder,Killed,Journalist,,2007
P. Srinivas Rao,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment,Killed,Journalist,,1997
Pablo Emilio Medina Motta,Male,TV Garzón,"December 4, 1999",Colombia,Crossfire,Killed,Journalist,,1999
Pablo Medina Velázquez,Male,ABC Color,"October 16, 2014",Paraguay,Murder,Killed,Journalist,,2014
Pablo Morrugares Parraguirre,Male,PM Noticias,"August 2, 2020",Mexico,Murder,Killed,Journalist,,2020
Papy Mumbere Mahamba,Male,Radio Communautaire de Lwemba,"November 2, 2019",Democratic Republic of the Congo,Motive Unconfirmed,Killed,Journalist,,2019
Parag Kumar Das,Male,Asomiya Pratidin,"May 17, 1996",India,Murder,Killed,Journalist,,1996
Paranirupasingham Devakumar,Male,News 1st,"May 28, 2008",Sri Lanka,Murder,Killed,Journalist,,2008
Parmenio Medina Pérez,Male,"""La Patada""","July 7, 2001",Costa Rica,Murder,Killed,Journalist,,2001
Parvaz Mohammed Sultan,Male,News and Feature Alliance,"January 31, 2003",India,Murder,Killed,Journalist,,2003
Paul Douglas,Male,CBS,"May 29, 2006",Iraq,Crossfire,Killed,Journalist,,2006
Paul Jenks,Male,European Pressphoto Agency,"January 17, 1992",Croatia,Crossfire,Killed,Journalist,,1992
Paul Kiggundu,Male,TOP Radio and TV,"September 11, 2010",Uganda,Murder,Killed,Journalist,,2010
Paul Klebnikov,Male,Forbes Russia,"July 9, 2004",Russia,Murder,Killed,Journalist,,2004
Paul Mansaray,Male,Standard Times,"January 9, 1999",Sierra Leone,Murder,Killed,Journalist,,1999
Paul Moran,Male,Freelancer,"March 22, 2003",Iraq,Crossfire,Killed,Journalist,,2003
Paúl Rivas Bravo,Male,El Comercio,"April 10-12, 2018",Colombia,Murder,Killed,Journalist,,2018
Paulos Kidane,Male,Eri-TV and Dimtsi Hafash,"June, 2007",Eritrea,Motive Unconfirmed,Killed,Journalist,,2007
Pavel Makeev,Male,Puls,"May 21, 2005",Russia,Murder,Killed,Journalist,,2005
Pavel Sheremet,Male,"Ukrainska Pravda, Radio Vesti","July 20, 2016",Ukraine,Murder,Killed,Journalist,,2016
Pedro Alfonso Flores Silva,Male,Channel 6,"September 8, 2011",Peru,Murder,Killed,Journalist,,2011
Pedro Canelas,Male,Radio Bambi,"December 19, 2020",Honduras,Motive Unconfirmed,Killed,Journalist,,2020
Pedro Palma,Male,Panorama Regional,"February 13, 2014",Brazil,Murder,Killed,Journalist,,2014
Pedro Yauri,Male,Radio Universal,"June 24, 1992",Peru,Murder,Killed,Journalist,,1992
Per-Ove Carlsson,Male,Freelancer,"April 29, 1992",Papua New Guinea,Murder,Killed,Journalist,,1992
Percival Mabasa,Male,DWBL 1242 Radio,"October 3, 2022",Philippines,Murder,Killed,Journalist,,2022
Pervez Khan,Male,Waqt TV,"December 6, 2010",Pakistan,Dangerous Assignment,Killed,Journalist,,2010
Peter R. de Vries,Male,Unknown,"July 15, 2021",Netherlands,Motive Unconfirmed,Killed,Journalist,,2021
Pétion Rospide,Male,Radio Sans Fin,"June 10, 2019",Haiti,Motive Unconfirmed,Killed,Journalist,,2019
Phamon Phonphanit,Male,Sue Samut Atyakam,"September 24, 2011",Thailand,Dangerous Assignment,Killed,Journalist,,2011
Philip Agustin,Male,Starline Times Recorder,"May 10, 2005",Philippines,Murder,Killed,Journalist,,2005
Philip True,Male,San Antonio Express-News,"December 15, 1998",Mexico,Murder,Killed,Journalist,,1998
Philippe Honoré,Male,Freelancer,"January 7, 2015",France,Murder,Killed,Journalist,,2015
Pierre Anceaux,Male,Freelancer,"August 31, 1994",Somalia,Murder,Killed,Journalist,,1994
Pierre Billaud,Male,Radio Télévision Luxembourg,"November 11, 2001",Afghanistan,Crossfire,Killed,Journalist,,2001
Pierre Kabeya,Male,Kin-Matin,"June 8, 1994",Democratic Republic of the Congo,Murder,Killed,Journalist,,1994
Pierre Zakrzewski,Male,Fox News,"March 14, 2022",Ukraine,Crossfire,Killed,Journalist,,2022
Pirimkul Sattori,Male,Khatlon,"May 28, 1993",Tajikistan,Murder,Killed,Journalist,,1993
Pradeep Bhatia,Male,The Hindustan Times,"August 10, 2000",India,Dangerous Assignment,Killed,Journalist,,2000
Prahlad Goala,Male,Asomiya Khabar,"January 6, 2006",India,Murder,Killed,Journalist,,2006
Prakash Singh Thakuri,Male,Freelancer,July 2007,Nepal,Murder,Killed,Journalist,,
Precious Owolabi,Male,Channels TV,"July 22, 2019",Nigeria,Dangerous Assignment,Killed,Journalist,,2019
Pu Tuidim,Male,Khonumthung Media Group,"January 8, 2022",Myanmar,Murder,Killed,Journalist,,2022
Puniyamoorthy Sathiyamoorthy,Male,Freelancer,"February 12, 2009",Sri Lanka,Dangerous Assignment,Killed,Journalist,,2009
Qais al-Jazar (Qais al-Qadhi),Male,Al-Jisr TV,"October 29, 2017",Syria,Crossfire,Killed,Journalist,,2017
Raad Mutashar,Male,Al-Raad,"May 9, 2007",Iraq,Murder,Killed,Journalist,,2007
Raad Yassin Al-Baddi,Male,Salaheddin TV,"December 23, 2013",Iraq,Murder,Killed,Journalist,,2013
Rabah Zenati,Male,Algerian State Television,"August 3, 1993",Algeria,Murder,Killed,Journalist,,1993
Rabih Al Maamari,Male,Al-Mayadeen TV,"November 21, 2023",Lebanon,Dangerous Assignment,Killed,Journalist,,2023
Raed Fares,Male,Radio Fresh,"November 23, 2018",Syria,Murder,Killed,Journalist,,2018
Rafael Emiro Moreno Garavito,Male,Voces De Córdoba,"October 16, 2022",Colombia,Murder,Killed,Journalist,,2022
Rafael Enrique Prins Velásquez,Male,Apocalipsis,"February 19, 2005",Colombia,Murder,Killed,Journalist,,2005
Rafael Murúa Manríquez,Male,Radiokoshana FM,"January 20, 2019",Mexico,Murder,Killed,Journalist,,2019
Rafed Mahmoud Said al-Anbagy,Male,Diyala TV and Radio,"August 27, 2005",Iraq,Murder,Killed,Journalist,,2005
Raffaele Ciriello,Male,Freelancer,"March 13, 2002",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,,2002
